9876 4000
691494 7047 8605
698750 7696 3398
688085 6471 4781
692606 950 7493
698753 3126 9
681105 9499 3205
693326 4444 5343
698319 5855 2304
687068 2145 7225
689910 1217 7014
681784 9092 8583
699876 194 1817
684344 3342 776
686828 8015 1782
698596 955 9962
689119 8754 6824
689812 6233 8778
682991 5128 2933
694232 3100 3085
699062 4066 8753
684652 245 1397
688863 335 7689
683784 2601 4921
698240 4670 4962
683166 6451 1226
694565 5468 530
681821 2380 3942
680609 8553 8523
686420 8780 9570
696656 3281 888
695947 2435 4302
681577 704 3701
684197 5844 4561
690204 7450 1701
687108 4333 6525
685058 3194 8899
683765 8551 3204
688856 8182 7871
681395 1910 4117
688746 1600 6404
697978 5869 223
696210 778 7899
696679 865 4609
690250 7275 4935
691702 7292 7024
697963 9962 1659
698740 3134 2386
691838 8903 608
686956 8387 5941
688360 4740 1747
685991 2842 2616
697068 551 2500
694325 6333 4089
690678 9877 2973
696207 1474 9850
698733 1192 9398
691129 8953 5637
699258 6913 3116
685430 6750 5205
693496 6875 963
695312 2806 6226
683355 5462 1453
692968 4576 8130
684654 8736 4288
680751 5181 3974
696583 6160 936
699281 3460 965
698491 1698 5061
681238 1774 5233
685894 4772 9788
685755 657 8600
691049 4828 1324
691012 4817 5397
699760 3688 5502
698003 7899 978
681812 5729 4312
698998 9068 5688
695527 8893 5005
683703 8134 460
698246 9170 4485
695321 7643 1506
680830 6094 8162
694658 3405 3745
693249 8167 8086
695136 2905 8447
688629 4060 3533
688831 2097 1091
692620 6377 1949
686549 418 6948
691147 6070 5490
697039 7716 7509
695710 2997 3364
696043 8550 5481
685848 368 8646
696361 5409 6724
682380 6942 480
687875 8657 3212
688488 3355 1687
681964 2031 2993
692459 7456 2375
684708 5232 3538
681519 7184 5939
694747 6977 3911
683009 7565 6480
682693 6702 5207
697779 1572 8483
683557 9151 4833
692376 540 8442
690609 5927 5667
694475 4877 6091
687610 8934 7125
693296 2415 2064
698359 2886 8129
686138 5405 8957
684034 2912 4422
683070 8954 1382
687654 9167 4996
691906 4250 1333
699904 1012 1609
690215 2435 8316
693123 368 9215
689239 7850 3003
699809 9952 6459
689729 6586 7816
684078 4047 1672
685733 5569 4196
688372 7274 57
684666 6371 6994
690292 2226 89
685332 9930 9222
684257 5093 6386
680640 734 5586
693851 9747 6880
692094 9486 2499
698206 449 1097
699087 5184 8577
694366 5751 1040
692597 472 7940
681297 6479 4999
689719 5074 7614
697916 3772 2504
682131 355 6899
682107 906 9650
694490 6001 5445
682256 5135 8752
687064 7692 9731
694458 3249 4964
693730 7093 8954
691441 8174 3911
696223 9012 3290
688921 797 6527
684475 1141 3558
685668 4776 4983
687724 2699 6209
682265 5879 1391
690327 2157 8781
684322 1861 8693
694226 3035 1974
688266 7814 7198
697964 4753 5260
686333 648 2944
689411 5864 5271
693170 9759 9628
696185 6778 4902
695560 5432 4593
685304 8510 75
688878 3342 3186
695498 3519 4703
682220 6605 7305
696621 830 5975
683946 1909 5871
685722 2739 1168
690016 5927 7970
690745 1835 8706
683766 684 3737
697774 5474 8694
680556 7261 2682
680057 5170 6857
685574 8485 1800
692499 2889 7272
698641 6183 3650
690230 2212 3649
684567 9436 2156
697325 7424 9189
682801 4424 8920
698236 5331 2330
698910 9538 4345
688799 2097 8442
699416 3129 1732
694172 7731 851
680658 8297 7418
689513 1890 6746
689503 8068 3622
698490 7646 5594
688535 2019 5144
683244 4730 8042
691980 6065 1489
684819 2147 235
684669 5257 7027
699300 8956 8037
689399 8115 3573
689992 7422 9989
687239 1261 7930
686161 4944 1989
694636 7694 3805
694828 8769 4591
699560 7786 497
699111 7886 798
688722 6210 328
686626 1327 2997
697500 8475 5049
687959 9114 9570
687332 3220 3063
692574 3613 6863
694041 903 6308
682133 4365 755
685159 2663 3106
692809 8768 8851
697994 135 9269
690449 9145 1081
681633 9076 5094
694892 4550 5701
698807 401 9832
693337 5356 1880
687351 5167 188
695340 5120 3609
697050 7371 3190
696825 303 9013
683525 7762 5656
681546 9137 884
694192 1463 2100
682623 1327 2177
690440 8224 6283
699426 2374 5575
694164 2267 5594
689269 7159 6567
694191 7859 8838
680721 5441 8345
690419 6936 8913
686208 8485 6741
682911 7468 7211
697421 8407 6811
697843 2884 6107
687233 3600 4089
693174 4059 557
699585 6684 7953
686455 8148 6826
686416 4753 8306
684794 8422 5383
684151 6866 2043
687766 9773 2435
692792 4425 6886
681127 14 9074
694290 237 2986
684825 5603 8481
690220 5964 8730
693740 1223 5869
693064 3549 7734
696956 1579 9861
689935 2419 3822
691034 7739 9707
695598 7442 5965
695078 9655 42
687866 1027 7755
687935 6216 1262
697615 2252 6306
691109 3754 2840
682751 5749 7651
686346 8991 7343
687938 4087 5989
692314 1172 4592
685739 1534 7671
696368 6707 8572
692641 6265 7914
680914 673 705
684153 6882 406
689406 9739 4080
696794 6587 639
698184 9540 821
692350 7028 8655
689385 9087 169
692330 6969 3077
698687 2731 1675
699086 188 1413
681177 1821 2782
696388 5998 3732
695684 3797 4445
690206 3628 6272
695595 3518 8592
693407 7916 7667
680431 444 3126
694032 2795 363
689582 6642 4300
684400 8815 2895
697169 3926 5344
680415 9336 6926
683932 4379 2526
686629 3373 7855
691766 9089 7176
696318 7003 2430
695319 9740 8686
680598 4725 5140
687312 7363 7577
680683 829 9390
685117 8554 357
684918 4375 5329
696243 2009 8155
696455 7719 8538
696344 4121 9786
686699 1640 5821
699230 8234 7143
698907 4136 6761
690851 8725 6510
683128 6890 9113
691175 8251 6397
682372 1040 8517
684732 3407 868
682147 2879 9959
681457 1405 3141
688049 1525 8
681638 4981 9748
681147 575 1330
691243 9917 9631
693339 146 7568
687130 2428 5805
694237 4290 8902
695399 9510 5539
696394 6577 7363
694642 2119 2209
698243 3522 2547
696257 531 5102
694306 5213 1157
690302 8880 5199
686504 6557 7938
689369 2516 3235
689771 4920 8277
697595 2285 1783
685388 8251 8866
684802 4170 6710
693229 9653 5088
699518 2922 1192
693279 7997 6352
693394 198 1024
680165 5795 24
692322 502 5152
687309 323 7311
681391 4945 3368
694240 2943 8744
682484 2354 2022
698531 9008 5052
689941 5886 8062
682781 6264 569
684604 697 5781
686710 9641 4506
688309 5537 1075
686846 243 1454
695720 4209 7249
698602 7966 736
692331 3465 8469
690437 3712 5325
694311 371 121
694625 4209 1329
694883 5497 4470
695176 2950 4758
681353 9139 3857
680587 8126 3603
681494 662 6056
686689 7573 8168
695960 3752 7761
692777 7601 6900
686544 610 6485
699494 8398 7838
695916 4085 1044
691068 8860 7396
683805 892 670
698963 7907 7992
685482 5734 2521
682733 7925 1002
682426 3343 2703
682739 9902 383
699099 1226 2489
680052 8935 4954
682233 6004 5914
680209 4151 8425
681868 1747 631
688787 7888 1885
683467 914 7688
696819 2757 4764
687942 3241 1311
681714 7972 8251
685317 901 106
695666 7757 9899
692784 8261 1610
689535 5480 4622
690565 1031 5452
689043 6480 9613
682373 3759 7247
687421 5798 3638
683428 7812 5762
689232 2991 1224
682815 3456 878
688002 895 2628
680474 6464 893
685580 6035 9148
699807 8931 8278
687873 4555 7210
686697 8670 3311
685713 2229 4135
689448 4846 9077
690286 2111 8915
680953 6243 1606
697893 9611 3202
692540 5901 9526
695423 7890 2416
683906 3223 9332
689739 3970 6905
692214 2719 8340
696145 6775 6869
693473 8338 5004
697255 4354 9088
693428 4366 2010
695879 9381 8716
683018 7826 5638
687046 3732 7224
682506 2858 2518
692660 11 3452
683919 4742 3540
688358 6119 3632
687736 8533 4605
697160 9089 441
699192 871 5342
684182 1021 3986
697356 7655 4308
687268 2883 8072
689481 6311 2354
690596 1374 3973
688236 9450 4666
685202 7750 7766
699723 8521 5072
695614 2086 4704
680808 9624 4512
696729 1865 5435
693497 7136 9352
699293 1816 7320
682755 6504 1212
699895 7377 1865
690005 6097 4606
693540 2119 8328
696353 2433 8317
689445 7586 22
680173 5708 6340
699695 4604 8982
680106 9877 4911
689225 6557 3088
681624 3538 746
691139 3200 2360
698126 5982 5326
698534 8442 3762
691541 5842 6143
690996 4094 1384
694310 9503 155
697728 8718 3638
688906 4471 261
697628 8508 5881
683659 4449 3017
688079 1410 2619
683130 33 7078
682040 7228 7796
694561 4209 4066
684580 7717 8749
682047 1483 6057
690417 276 5709
684420 524 2534
695695 3637 9888
680494 9136 6153
694083 6706 5749
682496 293 136
696501 9481 9167
683924 4012 6977
686112 9914 1859
693162 3187 9821
688509 1677 2388
699633 8971 445
681008 5248 8421
691925 3348 3801
694669 9792 2655
696882 3829 868
695413 6732 1542
688627 3500 8848
685184 8092 5796
693559 1844 4015
694974 4925 8716
689243 5654 3975
691554 3308 8328
683954 1566 7506
697125 4852 9929
681241 5813 3826
691965 2599 7337
690638 4030 1355
698697 432 9503
682502 5606 6323
695221 9021 3770
691621 8692 5560
682561 2279 4025
685498 2677 6867
683260 4422 3939
695426 3117 2269
684516 94 432
698372 7618 3418
689008 9123 4278
681593 887 6707
687932 1052 6725
683429 766 6124
698754 7671 7642
687342 5465 3243
688282 5284 2853
687245 5028 5506
686238 615 9124
694259 9950 9355
699025 4256 7253
699899 2443 1241
693387 7793 534
690500 9267 94
696308 1913 8710
693137 3538 129
694919 4426 3543
697258 5462 7587
699233 8285 616
694498 995 279
690086 8681 5415
684733 8160 8934
695106 5218 144
691033 7571 9770
691721 5373 8599
697231 6605 8708
697724 4257 4650
693935 3408 8409
681233 680 8447
681504 1714 7615
698823 1935 5212
680018 5912 8261
690961 8958 8773
687535 2977 2700
680349 3874 4328
680695 7729 1698
686432 4119 7593
687758 7024 9457
684235 9788 3846
695466 6215 613
683821 2754 7260
696114 9150 2388
691061 6054 9182
680972 9248 2952
694594 2372 3742
693660 9789 6780
680559 7807 4568
687815 3295 7597
686258 9185 423
680829 6063 7405
690972 1799 9468
689662 6757 8953
680790 1710 4179
688678 9523 2560
698859 7207 999
695171 9780 2708
697566 3823 3134
695451 5803 1814
685440 3774 6924
680375 1655 8507
685742 3090 97
685091 6071 5387
688474 5810 3098
687728 9153 7466
683414 8941 8705
680697 1358 7350
681445 8950 7511
690523 9371 3012
685567 604 7743
687957 7671 7493
688584 5096 8894
681484 8351 293
689079 9405 341
690072 516 1357
692701 2440 665
695167 3710 1699
688124 3204 1779
696842 4196 9185
693026 9212 7129
692455 9268 3592
696334 4115 3954
699571 169 5568
680866 6561 410
684675 5297 4159
692728 9624 9278
687025 3785 6766
689086 3514 6804
696731 4328 8157
684375 4900 9402
682641 2188 9543
688144 4516 437
699484 4570 2493
695939 9854 2730
699332 2053 4157
690410 4009 9313
686866 2321 3828
691866 5661 9540
680916 5626 3739
690643 8300 8150
697040 2377 14
683824 5568 4530
689566 8856 2236
691527 8871 7810
688701 262 2749
680121 3563 1055
695074 7392 3397
693001 4545 142
697463 703 4167
697807 4132 6928
685759 8353 1635
688312 2929 5226
680872 4485 7093
694418 9477 8504
696224 7663 1033
683633 4475 1441
682826 7111 8358
690689 2867 4763
691926 2663 1393
696302 5248 5898
688784 4263 6248
685072 6874 4190
699160 6381 1074
693976 6543 1500
680383 9204 7778
686294 2585 9876
681532 4355 7573
695310 4329 9105
688410 4932 2485
684858 6199 2993
688330 1675 6810
688069 8294 2516
681338 7598 3967
686563 2290 497
689304 1243 5721
688084 7125 6207
691064 5447 2710
688055 8686 8147
687626 3226 7265
680965 1371 4016
693193 6025 7112
689960 2827 4917
680071 2737 9789
682827 251 4704
694613 6911 1483
683602 5499 3389
695250 7814 8671
693418 261 2644
696374 1047 7843
698411 424 3474
694756 8676 5750
682691 6771 5511
690092 8177 1654
689473 5235 5130
688802 6207 7839
686198 2305 5841
683504 8901 4254
687167 9699 9710
685619 2927 7205
683412 1575 7791
695984 6519 3918
681210 8624 3801
697438 9178 2553
694668 9884 759
692729 4238 5024
683738 3099 9789
680379 4984 6665
685723 4604 964
687009 5712 3307
683311 5363 2389
692535 7577 2778
698325 9510 6182
698407 190 2802
694060 6240 1245
684504 7406 9001
685553 7224 4179
687144 8749 3874
697793 2985 4688
691918 1310 3919
680390 7592 6410
688080 8030 8796
689781 2427 1449
682018 6571 375
696435 8990 7876
688350 4955 4952
690152 9695 7405
689965 4319 9888
692248 6037 2746
688305 7574 8861
686902 1773 6510
696969 5546 7678
697352 9060 9826
682533 9848 3741
683549 7381 1149
686089 3689 5808
682241 6980 7197
687522 6457 5628
694882 5662 1799
691429 2275 3991
685891 852 4006
684045 3855 9457
681344 310 2466
689707 4146 9441
697190 9984 327
684520 8719 964
685004 6871 4987
690061 8765 1904
682393 4200 8648
696687 8702 7703
695355 9155 3983
693642 1409 781
682730 5550 7905
685204 3030 7519
691921 9991 1784
685728 4544 8063
691769 9065 4423
680233 1908 9363
687443 1185 5755
682224 3465 4455
686588 6487 9072
697111 8149 5952
690601 3177 3011
699852 3965 8292
694632 7974 339
683554 4689 6517
681038 1839 673
694905 4575 5397
697375 6541 4728
692673 5296 412
683596 39 6600
688274 7930 8302
689013 802 3570
693359 1042 7660
687133 2721 6858
684791 7650 5719
684453 3406 2906
681631 2073 7465
683845 9550 903
680841 7080 7463
696639 7145 763
681690 9187 9333
680411 700 9020
694469 3049 8520
682853 3960 3017
689815 8183 7838
689324 6901 3275
682653 1061 546
688790 4783 1619
682508 4718 2579
696294 4664 5014
698125 2249 7604
683169 2027 4384
692011 7828 5772
693578 8136 9774
681850 4036 564
697506 6985 9639
681915 6258 3677
684811 2363 2503
692821 1972 751
687315 491 9159
699106 2699 6043
681710 8942 3698
680453 9312 7960
686614 7954 2650
685988 8278 7059
696649 2118 2381
690228 3227 884
695037 1207 4114
683508 8460 3973
697178 1836 9321
682067 5516 8034
695036 6126 3173
685063 7151 925
683385 71 3244
687862 141 1269
686242 2811 6189
680504 1907 8379
685360 6912 6586
680092 5747 1891
692398 3032 9420
682948 5703 9031
690122 3404 2009
680569 1203 6400
689571 4923 3033
690716 1817 7397
687666 5001 8552
688192 8755 8608
695108 5532 1730
683102 9631 8833
691660 176 6353
690406 7122 7694
690246 9833 4511
690297 3114 5597
693433 5340 5986
689943 6912 5791
696454 9779 6520
697007 9977 2397
683604 3007 9262
691865 7219 259
688835 952 4265
698827 6874 314
682610 2039 7188
695431 8168 8038
681724 808 666
686034 4992 118
696337 9040 3741
688717 4670 7096
698606 3895 3100
689080 3141 5175
699117 1826 8974
694650 5670 6355
680193 6348 3272
697778 7929 4020
699843 9681 2984
692024 9241 2939
681918 3305 8336
699385 7054 326
693962 1352 6499
684331 1285 2120
683681 7460 4292
695953 5247 9983
687017 9960 8960
693934 880 3670
685639 9392 4387
699698 9083 7764
690620 8819 5398
689523 2815 2270
699812 2589 5260
690178 1645 8865
699251 9202 2106
698821 7106 5380
683981 8726 5406
691216 9544 9495
693494 4122 2620
688351 7423 7105
688306 9715 475
696642 7816 6132
682550 6729 4340
686388 3985 1484
695011 4235 2110
686006 5350 2539
683435 6562 7887
681796 4169 5370
687367 6260 9486
696941 8465 7976
697110 5630 4144
686117 8500 7911
683813 1515 7572
690103 6770 3122
697401 1211 9049
682654 8817 9740
685076 8933 8732
682365 1689 1447
680984 8211 3847
685785 6981 6205
693240 2656 4916
683852 9318 2648
688720 1962 177
687079 4150 1533
696142 981 2712
689011 6283 5607
685124 4334 2293
697576 2838 6373
687081 5993 7307
680954 280 3075
685670 1268 3486
693420 2479 4840
682887 4354 4117
690043 8576 1978
680777 9485 7110
693968 2234 6138
691453 9935 130
695114 8081 2746
684988 7578 4274
682912 3864 2045
681214 3801 4049
685186 1402 2929
680033 2250 3863
699237 9884 7181
697477 9416 6393
684444 8789 8739
687272 2485 2660
689091 6206 6206
692999 4783 5487
695142 8068 5498
692988 7319 5042
682333 141 6277
684317 6904 5648
683377 7146 5916
686694 5309 7968
684010 3681 6664
688755 6691 640
692629 9385 5323
693901 9581 4813
691349 49 1137
699273 4708 9967
690954 2817 8547
695634 526 5771
680703 6498 5488
684700 8897 9066
687227 6884 4219
694923 6877 450
689688 4730 2600
682417 8251 6093
683229 2781 1994
694406 160 5776
688112 6147 3477
697464 5720 1448
696987 7442 6629
691178 284 8074
692254 8748 3225
685727 7007 8015
686815 3771 674
697585 9009 7134
693307 5915 7983
681810 4523 8702
693823 2909 1084
689427 6866 6048
698255 9320 2609
690217 6602 6763
693210 957 5395
690707 4965 974
688964 6328 405
690897 1487 7845
680413 9903 1336
684458 8495 9318
690955 9742 627
699813 5010 9770
696396 8318 8028
690633 6760 7451
691954 4183 7333
692556 9678 7603
691019 1609 7394
693546 5137 6401
699976 2325 8839
685474 9257 4724
685679 977 7380
681106 1309 5124
684529 4819 2896
685876 1945 693
683627 4910 1407
690082 5566 1338
697866 7677 2009
691362 6977 3100
693118 9222 222
696305 4972 9047
694403 3865 5836
683135 5256 2494
681100 4966 2184
699353 5970 3889
685916 7131 8499
697606 9578 513
687981 7948 8819
694721 5419 2003
685502 5494 5956
681239 6069 444
685661 836 1756
698692 3146 7768
691432 3932 4154
684311 6 6664
680862 351 9517
695644 8595 90
686364 5671 861
689280 6461 1541
694879 7647 3759
698711 9549 526
699280 7039 6112
684608 3402 6773
696790 3872 251
688897 1407 326
681774 4965 3653
693736 4504 9893
697430 1025 2107
697038 9812 6036
689305 7818 228
692862 6858 6226
689339 8008 990
699226 7289 3551
699208 2420 9591
682823 5240 8719
682700 4331 6446
695557 9480 4000
697534 8338 1238
698350 6549 4870
683795 7012 7468
681809 2259 3979
680145 8736 1942
694667 5740 9002
695561 391 1103
684776 1824 843
683960 8301 310
687084 501 3663
691873 6619 5815
695500 3868 1132
694064 9251 1981
693953 8089 7718
687525 556 106
687680 8762 1607
697286 949 126
698805 1045 7654
698635 1218 6254
691511 7774 2700
686370 296 1978
681261 4004 9528
691467 7103 3642
682493 113 1901
689676 3917 5016
690469 7065 6970
699417 4722 478
680805 7476 8533
688123 8039 2086
684180 5257 1693
680982 4252 593
697907 1898 6366
695552 2381 5686
691513 4558 9310
699601 6092 2663
683965 7344 5775
693738 927 1246
681711 7018 406
691347 8619 4470
689590 8000 5488
681035 6608 5017
689272 7846 7025
688820 1526 8468
689238 6324 1362
689384 6002 2739
696134 8804 6777
687794 7242 2790
694193 238 4075
695307 8174 6651
686813 2412 2507
699965 2724 7593
699525 2671 9905
691427 674 6745
687811 8607 863
689397 5449 9646
694507 7767 3384
693331 5560 5719
695129 8210 4720
692590 8556 768
699335 584 9919
698420 2360 6815
693003 1673 9745
688716 3416 5032
688109 5852 4943
681515 9544 4451
688757 9267 1686
689828 5709 755
682895 1368 3389
695035 4330 6611
681331 4723 4572
689928 3853 4967
695048 7285 8016
690390 9623 1207
691305 7233 7710
686938 8785 4602
694124 5148 1257
683015 3599 4916
691969 987 4340
697593 9510 1637
686695 287 2032
684699 180 1985
683276 1807 8499
684896 8861 5298
698355 2803 4989
681109 2629 9139
692744 2474 6797
692553 5556 3249
681612 9405 9055
685367 2162 3520
690843 5328 3166
684302 9340 8469
694024 2493 4075
686608 7637 2579
683668 9331 2221
697377 1660 8902
698403 613 2082
686483 1463 830
688129 2570 1608
687659 2142 5725
691287 2291 4776
693878 4464 518
683583 9827 7251
692062 7015 454
698863 4577 5254
687887 2844 5232
691834 5930 2931
699930 7004 149
694633 7617 3544
685497 9228 685
687481 4457 4216
685422 9099 2658
682310 3669 2892
693945 4573 6842
692994 332 4759
687154 4678 3899
681554 1645 3345
698888 7220 599
688625 340 5266
693547 2782 3496
697570 1172 974
680753 836 4329
687946 1949 6612
697314 6005 1197
693122 474 940
698959 8683 974
690051 1601 6971
682462 6558 4783
697961 6282 1308
689439 5914 158
698593 5205 4193
683892 9313 927
699831 6641 9110
688620 9191 9834
699659 4439 9641
682906 1000 3544
699740 8858 4049
692385 5158 9973
683674 9076 5428
682330 8904 5660
685235 1855 3840
682123 5018 1001
698259 2296 5024
695891 4415 7163
695900 922 2549
688371 9967 4920
692318 8494 6516
689231 1681 3303
687595 752 4566
689726 8375 3837
693964 8508 4675
693391 9706 9557
699156 4669 3994
694766 487 9347
681012 6786 7989
696107 1921 2526
685836 3888 2858
696229 4500 7851
695159 1841 2960
685131 5528 5483
690127 2904 608
696285 5822 8840
691226 1119 5017
683783 2263 3175
696040 6223 5785
697626 9090 5733
687785 9751 7940
682594 4642 2366
685228 9161 2946
681016 8914 9105
689603 8338 6975
698113 3223 518
689718 2778 6487
694591 8258 574
683770 3594 7994
697324 3855 8270
688920 2602 5272
696793 642 6642
698837 2212 1191
695630 1574 1072
699624 3841 7996
685386 581 5606
689303 4598 741
691065 3738 1198
693604 6461 5075
692548 6148 5975
692386 7135 4312
694250 988 9624
684411 9492 8183
694891 5433 8768
684671 4481 9975
686564 1041 4168
687241 9081 8617
697596 5402 5591
681668 3185 2916
680549 9489 5226
689818 6669 6837
692209 9431 8280
681266 5954 7067
682016 2123 1236
686508 910 133
689363 8342 2470
684937 1013 9580
690448 7290 8758
682113 5827 3943
698926 9276 6823
690231 3857 6479
685222 6048 2066
692830 2382 5194
698354 8665 1440
687704 6432 6820
699922 7432 1944
682316 3396 331
689595 8203 2753
692117 6845 7099
692449 8182 1746
696618 2444 892
692435 5172 5002
698130 2149 9126
696897 5314 9955
680186 5037 8712
684806 9355 8130
689263 9864 2963
699736 3589 5178
687211 5792 7769
681164 1253 899
681346 9428 7605
683115 9452 5244
683886 7743 8938
691056 1769 5710
699999 1515 8058
695239 4723 82
699602 6448 3368
699190 4463 3898
687248 8472 8629
684140 290 8250
698887 7696 6802
688005 9431 9586
687635 957 1852
688172 3427 1305
683406 114 8020
691163 9140 7613
691471 6343 8237
690688 4514 4871
681022 7128 2099
681697 2488 9752
685427 5699 2400
683191 5151 8419
695631 6838 933
692495 2891 9023
686736 343 4959
691794 7287 2673
692567 7859 5881
683209 8000 4446
690291 6202 4162
680632 6969 6366
693101 2423 836
690591 2392 5867
691807 9819 2082
686810 7729 6245
688916 4805 2021
691119 6411 9495
696347 5032 8028
698996 9251 7177
695653 4173 9019
691755 3085 1805
688555 816 413
695843 6410 669
686925 6921 4555
692555 7275 5071
686973 2883 9222
690763 4226 2655
690981 4856 9927
689846 6584 533
699575 3417 543
698487 7817 3311
690762 8186 5680
685420 6592 6215
687438 2249 4080
694503 9855 254
681235 937 6329
695174 963 4217
688704 4238 8987
697042 9447 8624
688599 7639 5133
690433 7215 851
681277 6497 6956
694372 8363 6188
685413 7776 2314
699100 8129 7112
699622 3722 191
690577 8573 7561
688518 9759 7763
682763 5226 5255
685345 6375 493
697019 8610 518
690682 336 7533
699210 8944 7006
688608 770 5068
689686 7358 3941
683698 3018 4537
682255 6383 3129
689098 844 6559
696884 2791 8961
684869 9106 3032
694562 2378 3982
693008 3746 2110
682307 1896 6855
691659 7928 3333
688499 7856 6092
689712 697 6867
680769 8988 2029
682942 9616 6086
686310 5140 8352
692563 5200 3921
688016 5475 8623
696303 884 4510
693410 745 8949
685216 5783 53
697996 4454 1196
696532 2203 1923
692002 4943 6517
696493 6237 4390
693425 9799 7908
680801 7158 5229
693332 3001 6236
683415 2370 5154
681841 3648 4149
692088 6963 5937
680488 5686 5744
696577 8779 9537
693373 2921 4925
695743 7150 29
690876 9455 8334
696177 2884 3030
692326 1962 8792
684584 5583 6403
684967 5222 5445
685194 2911 3216
683739 2599 4888
680281 8772 5699
681486 939 9141
680009 5368 4149
698962 8636 5718
686553 3208 2785
691187 3516 3480
689294 2118 7565
690106 682 2927
684823 4448 5839
683553 4748 5681
681745 2098 110
685484 9287 722
687541 4088 1473
696509 3369 500
691857 8996 5503
686021 651 449
691268 2122 9868
696169 9279 1476
698894 6272 9539
696227 7306 6889
688997 5942 8654
689855 1278 5406
680156 2099 157
680442 122 884
682650 9578 4462
684769 7243 2505
693061 3538 6719
690997 2105 908
688386 7154 4462
680662 8475 3669
696025 7248 1406
691364 8771 655
692627 4891 3646
689377 9940 9647
689964 4704 1341
689468 5859 4787
683743 6946 8140
684838 6545 1524
682104 222 7556
699361 6759 9300
693445 8330 2725
694198 7587 2875
697413 7381 8680
684573 7220 4759
697360 8374 2326
693758 2983 3970
696626 678 6965
690229 7251 9406
694690 4414 252
699070 3342 6887
698361 4216 4875
688674 9801 9735
695298 754 1339
697562 264 4446
686282 759 5673
686145 4020 2987
684451 7354 9968
699567 1194 7964
694416 888 6110
682491 8116 488
687114 1573 8987
686296 4062 7232
699407 7896 7179
693666 5473 7961
693553 6406 585
684879 7051 9052
683285 2504 7198
